Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
43022002,has job,has job,has job,has job,has job,has job,has job,has job,has job
43022001,has job,has job,has job,has job,has job,has job,has job,has job,has job
50131001,has job,has job,has job,has job,has job,has job,has job,has job,has job
50131002,no job,no job,no job,has job,has job,has job,has job,has job,has job
50300001,no job,no job,has job,has job,has job,has job,has job,has job,has job
50300022,no job,no job,no job,no job,no job,no job,has job,no job,no job
50400001,has job,has job,has job,has job,has job,has job,has job,no job,no job
50400043,no job,no job,no job,no job,no job,has job,has job,has job,has job
50400044,no job,no job,no job,no job,no job,no job,no job,has job,has job
50400052,no job,no job,no job,no job,no job,no job,no job,has job,no job
50600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
50600002,no job,no job,no job,no job,no job,no job,no job,no job,has job
50600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
50600005,no job,no job,no job,no job,no job,no job,has job,has job,has job
50600006,no job,no job,no job,no job,no job,no job,no job,no job,has job
50600042,no job,no job,no job,no job,no job,has job,has job,no job,has job
50600041,no job,no job,no job,no job,no job,no job,no job,has job,has job
50700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
50700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
50800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
50800003,has job,no job,has job,has job,has job,has job,has job,has job,has job
50800005,has job,has job,has job,has job,has job,has job,has job,has job,has job
50900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
50900002,no job,no job,no job,no job,no job,no job,no job,has job,has job
50900005,has job,has job,has job,has job,has job,has job,has job,has job,has job
50900092,no job,no job,no job,no job,has job,no job,no job,no job,no job
50900091,no job,no job,no job,no job,no job,no job,has job,has job,has job
51000001,no job,no job,no job,no job,no job,has job,has job,has job,has job
51000002,no job,no job,no job,no job,no job,no job,no job,has job,has job
51000031,no job,no job,no job,no job,no job,has job,has job,no job,has job
51100005,no job,no job,no job,no job,no job,no job,no job,has job,has job
51300022,has job,has job,no job,no job,no job,no job,no job,no job,no job
51300021,has job,has job,has job,has job,has job,has job,has job,has job,has job
51312002,has job,has job,has job,has job,has job,has job,has job,has job,has job
51312003,no job,no job,has job,has job,has job,has job,has job,has job,has job
51400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
51400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
51400007,no job,no job,no job,no job,no job,no job,no job,has job,has job
51400051,has job,has job,has job,has job,has job,has job,has job,has job,has job
51400062,no job,no job,no job,no job,no job,no job,has job,has job,no job
51400061,has job,has job,has job,has job,has job,has job,has job,has job,has job
51431002,has job,has job,has job,has job,has job,has job,has job,has job,has job
51500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
51600001,has job,has job,has job,has job,no job,has job,has job,has job,has job
51600002,no job,no job,no job,no job,no job,no job,no job,no job,has job
