Person,2007,2008,2009,2010,2011,2012,2013,2014
51700001,has job,has job,has job,has job,has job,has job,has job,6
51741001,has job,has job,has job,has job,has job,has job,has job,has job
51700004,has job,has job,has job,has job,has job,has job,has job,6
51741003,no job,no job,has job,has job,has job,has job,has job,has job
51800001,has job,has job,has job,has job,has job,has job,has job,6
51800002,no job,no job,no job,no job,no job,no job,no job,6
51800031,no job,no job,no job,no job,no job,has job,has job,6
51800051,has job,has job,has job,has job,has job,has job,has job,has job
51800052,has job,has job,has job,has job,no job,no job,no job,no job
52000001,has job,has job,has job,has job,has job,has job,has job,has job
52000002,has job,has job,has job,has job,has job,has job,has job,6
52000031,has job,has job,has job,has job,has job,has job,has job,has job
52000005,no job,no job,no job,has job,has job,has job,has job,6
52000006,no job,no job,has job,has job,has job,has job,has job,6
60100001,has job,has job,has job,has job,has job,has job,has job,6
60100002,has job,has job,has job,has job,has job,has job,has job,6
60100032,no job,no job,no job,no job,has job,has job,has job,has job
60100031,has job,has job,has job,has job,has job,has job,has job,has job
60200002,has job,has job,has job,has job,has job,has job,has job,6
60300001,has job,has job,has job,has job,has job,has job,has job,has job
60300002,has job,has job,has job,has job,has job,has job,has job,has job
60341001,has job,has job,has job,has job,has job,has job,has job,6
60342001,has job,has job,has job,has job,has job,has job,has job,has job
60300005,no job,no job,has job,has job,has job,has job,has job,6
60300006,no job,no job,no job,no job,no job,no job,no job,has job
60300007,no job,no job,no job,no job,has job,has job,has job,has job
60341002,has job,has job,has job,has job,has job,has job,has job,6
60342002,no job,no job,no job,no job,no job,has job,has job,has job
60400001,has job,has job,has job,has job,has job,has job,has job,has job
60400021,has job,has job,has job,has job,has job,has job,has job,has job
60431001,has job,has job,has job,has job,has job,has job,has job,6
60411001,has job,has job,has job,has job,has job,has job,has job,has job
60441002,has job,has job,has job,has job,has job,has job,has job,has job
60411002,has job,has job,has job,has job,has job,has job,has job,has job
60431002,has job,has job,has job,has job,has job,has job,has job,6
60441001,has job,has job,has job,has job,has job,has job,has job,has job
