hhid14_9,pid14,movenum,mg21bx,mg21cx,mg21dx,mg21ex,mg21e,mg21d,mg21c,mg21b,mg24x,mg24mth,mg24yr,mg25,mg26,mg27x,mg27,mg28,mg29,mg30,mg31,mg34a,mg34,mg35,mg36,mg39,mg40,hhid14,pidlink,version,module
048180003,4,3,3,3,3,3,62,16,73,40,1,98,2008,NA,5,8,NA,1,1,2,NA,NA,3,NA,,1,NA,0481851,048185104,1.3,B3A_MG2
048180003,4,4,1,1,3,3,62,16,4,11,1,98,2008,NA,1,1,40,12,NA,NA,NA,NA,1,2,AG,1,NA,0481851,048185104,1.3,B3A_MG2
048180003,4,5,3,3,3,3,62,16,73,40,1,98,2012,NA,5,1,40,1,1,2,NA,NA,1,3,AG,3,NA,0481851,048185104,1.3,B3A_MG2
048190005,1,1,1,1,1,3,62,17,71,20,1,7,1998,NA,5,1,500,2,NA,NA,1,NA,3,NA,,1,NA,0481951,048190005,1.3,B3A_MG2
048190005,1,2,1,1,1,3,62,34,4,70,1,8,2001,NA,5,8,NA,2,NA,NA,1,NA,3,NA,,1,NA,0481951,048190005,1.3,B3A_MG2
048190005,1,3,1,1,1,3,62,34,4,70,1,6,2006,NA,5,1,1,16,NA,NA,NA,NA,3,NA,,1,NA,0481951,048190005,1.3,B3A_MG2
048190005,1,4,1,1,1,3,62,31,72,20,1,10,2007,NA,5,1,800,1,1,1,NA,NA,3,NA,,1,NA,0481951,048190005,1.3,B3A_MG2
048190005,1,5,3,3,3,3,62,16,4,120,1,3,2009,NA,3,1,1600,1,1,1,NA,NA,3,NA,,1,NA,0481951,048190005,1.3,B3A_MG2
048190005,1,6,3,3,3,3,62,16,4,120,1,11,2011,NA,3,1,1,13,NA,NA,NA,NA,1,1,A,3,NA,0481951,048190005,1.3,B3A_MG2
048190005,2,1,1,1,1,3,62,34,4,70,1,98,2001,NA,5,1,360,2,NA,NA,1,NA,3,NA,,1,NA,0481951,048195102,1.3,B3A_MG2
048190005,2,2,3,3,3,3,62,16,4,120,1,10,2009,NA,3,8,NA,4,NA,NA,NA,NA,3,NA,,3,NA,0481951,048195102,1.3,B3A_MG2
048220000,6,1,1,1,1,3,62,36,74,50,1,6,2009,NA,5,8,NA,1,1,1,NA,NA,1,1,D,1,NA,0482200,048220006,1.3,B3A_MG2
048220000,6,2,3,3,3,3,62,16,4,11,1,6,2010,NA,1,8,NA,16,NA,NA,NA,NA,3,NA,,3,NA,0482200,048220006,1.3,B3A_MG2
048224100,1,1,1,1,1,3,62,16,4,11,1,6,2009,NA,1,1,25,12,NA,NA,NA,NA,3,NA,,1,NA,0482241,048220008,1.3,B3A_MG2
048224100,1,2,3,3,3,3,62,36,74,60,1,2,2014,NA,5,8,NA,1,1,1,NA,NA,3,NA,,3,NA,0482241,048220008,1.3,B3A_MG2
048230003,2,1,1,1,3,3,62,16,73,20,1,8,2007,NA,3,1,6,2,NA,NA,1,NA,3,NA,,1,NA,0482351,048230003,1.3,B3A_MG2
048230003,2,2,3,3,3,3,62,16,4,11,1,10,2008,NA,1,1,6,9,NA,NA,NA,NA,3,NA,,3,NA,0482351,048230003,1.3,B3A_MG2
048230003,1,1,1,1,3,3,62,16,73,40,1,98,1989,NA,1,1,22,2,NA,NA,1,NA,3,NA,,1,NA,0482351,048235101,1.3,B3A_MG2
048230003,1,2,3,3,3,3,62,16,4,11,1,8,1996,NA,1,1,22,8,NA,NA,NA,NA,3,NA,,3,NA,0482351,048235101,1.3,B3A_MG2
048294100,2,1,3,3,3,3,62,16,73,20,1,3,2014,NA,8,1,50,1,1,1,NA,NA,1,2,AG,3,NA,0482941,048290002,1.3,B3A_MG2
048290007,2,1,8,1,1,3,62,31,73,998,1,8,2012,NA,5,8,NA,1,1,1,NA,NA,3,NA,,1,NA,0482950,048290007,1.3,B3A_MG2
048290007,2,2,1,1,3,3,62,16,4,11,1,7,2013,NA,3,8,NA,8,NA,NA,NA,NA,3,NA,,1,NA,0482950,048290007,1.3,B3A_MG2
048290007,2,3,3,3,3,3,62,16,73,20,1,9,2013,NA,3,1,20,4,NA,NA,NA,NA,3,NA,,3,NA,0482950,048290007,1.3,B3A_MG2
048294300,6,1,1,3,3,3,62,16,73,20,1,98,2009,NA,3,1,5,12,NA,NA,NA,NA,1,2,BC,1,NA,0482943,048290008,1.3,B3A_MG2
048294300,6,2,3,3,3,3,62,16,73,20,1,98,2013,NA,3,1,10,1,1,1,NA,NA,3,NA,,3,NA,0482943,048290008,1.3,B3A_MG2
048294100,1,1,3,3,3,3,62,16,73,20,1,3,2014,NA,3,1,12,1,1,1,NA,NA,1,2,AG,3,NA,0482941,048294101,1.3,B3A_MG2
048290007,1,1,1,1,1,3,62,36,3,30,1,12,2007,NA,1,8,NA,1,1,2,NA,NA,3,NA,,1,NA,0482950,048295001,1.3,B3A_MG2
048290007,1,2,3,3,3,3,62,16,73,20,1,98,2009,NA,3,8,NA,2,NA,NA,1,NA,3,NA,,3,NA,0482950,048295001,1.3,B3A_MG2
049011100,5,1,1,1,1,3,62,13,71,100,1,7,2008,NA,3,1,1000,2,NA,NA,1,NA,3,NA,,1,NA,0490111,049010003,1.3,B3A_MG2
049011100,5,2,1,1,1,3,62,16,74,32,1,7,2013,NA,3,1,1000,12,NA,NA,NA,NA,3,NA,,1,NA,0490111,049010003,1.3,B3A_MG2
049011100,5,3,3,3,3,3,62,31,72,80,1,5,2014,NA,5,1,2000,1,1,2,NA,NA,3,NA,,3,NA,0490111,049010003,1.3,B3A_MG2
049020000,2,1,3,3,3,3,62,16,74,32,1,98,1967,NA,3,1,75,1,3,NA,NA,NA,1,8,BCDE,3,NA,0490200,049020002,1.3,B3A_MG2
049020000,5,1,8,8,1,3,62,51,98,998,1,98,2004,NA,5,8,NA,1,1,1,NA,NA,3,NA,,1,NA,0490200,049020005,1.3,B3A_MG2
049020000,5,2,3,3,3,3,62,16,74,32,1,98,2004,NA,3,8,NA,7,NA,NA,NA,NA,3,NA,,3,NA,0490200,049020005,1.3,B3A_MG2
049020000,7,1,1,1,3,3,62,16,71,31,1,7,2001,NA,5,1,250,2,NA,NA,1,NA,3,NA,,1,NA,0490200,049020007,1.3,B3A_MG2
049020000,7,2,1,3,3,3,62,16,74,22,1,10,2005,NA,3,1,250,2,NA,NA,1,NA,3,NA,,1,NA,0490200,049020007,1.3,B3A_MG2
049020000,7,3,3,3,3,3,62,16,74,32,1,12,2014,NA,5,1,6,4,NA,NA,NA,NA,1,1,A,3,NA,0490200,049020007,1.3,B3A_MG2
049030000,1,1,3,3,3,3,62,16,5,50,1,98,2013,NA,1,1,25,12,NA,NA,NA,NA,1,1,G,3,NA,0490300,049030001,1.3,B3A_MG2
049030000,4,1,3,3,3,3,62,16,5,50,1,10,2012,NA,1,1,25,12,NA,NA,NA,NA,1,3,AG,3,NA,0490300,049030004,1.3,B3A_MG2
049034100,2,1,3,3,3,3,62,31,74,10,1,10,2011,NA,3,1,1,9,NA,NA,NA,NA,1,3,AG,3,NA,0490341,049030006,1.3,B3A_MG2
049030000,7,1,3,3,3,3,62,16,5,50,1,98,2013,NA,3,1,18,23,NA,NA,NA,NA,1,1,B,3,NA,0490300,049030007,1.3,B3A_MG2
049030000,10,1,3,3,3,3,62,16,5,50,1,10,2012,NA,1,1,21,23,NA,NA,NA,NA,1,3,AG,3,NA,0490300,049030010,1.3,B3A_MG2
049034100,1,1,3,3,3,3,62,31,74,10,1,10,2011,NA,5,1,1,2,NA,NA,3,NA,1,2,AG,3,NA,0490341,049034101,1.3,B3A_MG2
049041100,3,1,1,1,3,3,62,16,71,51,1,5,2012,NA,5,1,480,2,NA,NA,1,NA,3,NA,,1,NA,0490411,049041103,1.3,B3A_MG2
