Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
100600042,no job,no job,no job,no job,no job,no job,no job,,
100600061,,,,,no job,no job,no job,no job,no job
100800001,,,,,,,,no job,no job
100800005,no job,no job,no job,no job,no job,no job,,,
100800042,no job,,,,,no job,no job,,
101200005,no job,no job,no job,no job,no job,no job,no job,,
101200061,no job,no job,no job,no job,no job,no job,no job,,
101200071,no job,no job,no job,no job,no job,,,,
101500041,no job,no job,no job,no job,no job,no job,,,
101700031,no job,,,,,,,,
101700032,no job,no job,no job,,,,,no job,
101800005,no job,no job,no job,,no job,no job,no job,no job,no job
101800007,no job,no job,no job,no job,no job,no job,no job,,
102000004,no job,no job,no job,no job,no job,,,,
102100061,no job,no job,,,,,,,
102400003,no job,no job,,,,,,,
102400009,no job,no job,no job,no job,no job,,,,
102431001,no job,no job,no job,no job,,,no job,,
102511002,no job,no job,,,,,,,
102511004,no job,no job,,,,,,,
102700005,no job,no job,no job,no job,no job,no job,,,
104300001,,no job,no job,no job,no job,no job,no job,no job,no job
104300081,no job,no job,,,,,,,
104300082,no job,no job,no job,no job,no job,,,,
104400042,no job,no job,no job,,,,,,no job
104400043,no job,no job,,,,,,,
104400051,no job,no job,no job,no job,no job,,,,
104600009,no job,no job,no job,no job,no job,no job,,,
104621002,,no job,no job,no job,no job,no job,no job,no job,no job
110400052,no job,no job,no job,no job,,,,,
110431003,no job,no job,no job,,,,,,
110500003,no job,no job,no job,no job,no job,,,,
110600004,no job,no job,no job,no job,no job,no job,,,
110600006,no job,no job,no job,no job,no job,no job,no job,no job,
110700001,,,,,,,,,no job
110700002,no job,no job,no job,no job,no job,no job,no job,no job,
110800004,no job,no job,no job,no job,no job,,,,
111000004,no job,no job,,,,,,,
111000051,no job,no job,no job,no job,no job,no job,,,
111500004,no job,no job,,,,,,,
111500009,no job,no job,no job,no job,,,,,
111511001,,,,,,,,,no job
111600001,,,no job,no job,no job,no job,no job,no job,no job
111600003,no job,no job,,,,,,,
111700052,no job,no job,no job,no job,no job,no job,,,no job
111700062,no job,,,,,,,,
111731002,no job,,,,,,,,
112200003,,,,,,,no job,,
112500041,no job,no job,,,,,,,
112700004,no job,no job,no job,no job,no job,no job,,,
112700032,no job,no job,no job,no job,no job,,no job,no job,no job
112700031,no job,,,,,,,,
120100001,,,,,,,,,6
120100002,no job,no job,no job,no job,no job,no job,no job,no job,6
120200002,no job,no job,no job,no job,no job,,,,
120300001,,,,,,,,,6
120400002,,,,,,,,,6
120400009,,,no job,no job,no job,no job,no job,no job,6
120400031,no job,no job,,,,,,,6
120400032,no job,no job,no job,,,no job,no job,no job,6
120400042,no job,no job,no job,,,,,,no job
120400044,no job,no job,no job,no job,no job,,,no job,6
120400041,,,,,,,,,6
120400062,no job,no job,no job,no job,no job,no job,no job,,6
120500002,no job,no job,no job,no job,no job,,,,
120600002,no job,no job,no job,no job,no job,,no job,,
120600006,no job,no job,no job,no job,no job,no job,no job,,
120700001,no job,no job,no job,no job,no job,no job,no job,,6
120700032,no job,no job,no job,,,no job,no job,no job,6
120700031,,,,,,,,,6
120700041,no job,no job,no job,no job,no job,,,,
120900003,no job,no job,no job,no job,no job,no job,,,
120900004,no job,no job,no job,no job,no job,no job,no job,no job,
121100001,,,,,,,,,6
121100004,no job,no job,no job,no job,no job,no job,no job,no job,6
121100006,no job,,,,,,,,6
121200001,,,,,,,,,6
121200004,no job,no job,no job,no job,no job,no job,no job,no job,6
121200032,no job,,,,,,,,6
121200031,no job,no job,no job,no job,no job,,,,6
121400001,,,,,,,,,6
121400007,no job,no job,,no job,no job,no job,no job,,6
121432002,,,,,,,,,6
121433001,,,,,,,,,6
121433002,no job,no job,no job,no job,no job,no job,,,6
121434002,no job,no job,no job,no job,no job,no job,no job,,6
121434001,,,,,,,,,6
121500006,,,,,,,,,6
121500007,,,,,,,,,6
121700001,,,,,,,,,6
121700002,no job,no job,no job,no job,no job,no job,no job,no job,6
121700003,no job,no job,no job,no job,no job,,,,6
121700004,no job,no job,no job,no job,no job,no job,no job,,6
121800002,,,,,,,,,6
121800004,,,,,,,,,6
121800005,no job,no job,no job,no job,no job,,,,6
