Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
391000011,has job,has job,has job,has job,has job,has job,has job,has job,has job
391700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
400300052,has job,has job,has job,has job,has job,has job,has job,has job,has job
400500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
400500003,,,,,,,has job,has job,has job
400700001,,,,,has job,has job,has job,has job,has job
401100041,,,,,,,,has job,has job
401431004,has job,,,has job,has job,has job,has job,has job,has job
402200005,has job,has job,,,,,,,
402300042,,,,,,has job,has job,,has job
402631001,has job,has job,,,has job,has job,has job,has job,has job
411600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
412400005,,,,,,has job,has job,has job,has job
414211001,has job,has job,has job,has job,has job,has job,has job,has job,has job
414300006,,,has job,has job,,,,,
420232005,,,,,,has job,has job,has job,has job
420300032,,,,,,,has job,,
420700031,,,,,,,,has job,has job
421000051,,,,,,,has job,has job,has job
421031003,,has job,has job,has job,has job,,,,has job
421531002,has job,has job,has job,has job,has job,has job,has job,,
422300042,,,,has job,,,,,
422600051,,,,,,,has job,has job,has job
423000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
423000003,,,,,has job,has job,has job,has job,has job
430300052,,,has job,has job,has job,has job,,,
431000031,,,,,,,,has job,has job
431600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
432000001,has job,has job,has job,has job,has job,has job,has job,,
432000082,has job,has job,,,,,,has job,has job
432000127,,,,,,has job,has job,has job,has job
432000126,,,,,,,has job,has job,has job
432100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
432300021,has job,has job,has job,has job,has job,has job,has job,has job,has job
432421001,has job,has job,has job,has job,has job,has job,has job,has job,has job
432421002,has job,has job,has job,has job,has job,has job,has job,has job,has job
432431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
432500073,,has job,has job,has job,has job,has job,has job,has job,has job
432521002,has job,has job,has job,has job,has job,has job,has job,has job,has job
432711003,,has job,has job,has job,,,has job,has job,has job
432900033,,,,,,,,,has job
433000056,,has job,has job,has job,has job,has job,,has job,has job
440300004,has job,has job,has job,has job,has job,has job,has job,has job,
440500001,has job,,has job,has job,has job,has job,has job,has job,has job
441431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
441500003,has job,has job,has job,has job,has job,has job,has job,has job,has job
441500041,has job,has job,has job,has job,has job,has job,has job,has job,has job
