Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
1081300031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1081400004,,,,,,has job,has job,has job,has job
1090300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1090300031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1092811001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1092931001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1101700051,,,has job,has job,has job,,has job,,
1101800001,has job,has job,has job,has job,has job,has job,has job,has job,
1110500003,,,,,has job,,has job,has job,
1121700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1121800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1131500041,,,,,,,,,has job
1131900031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1141100003,,,,,has job,has job,has job,has job,has job
1141100004,,,,,,,has job,has job,has job
1141400007,,,has job,has job,has job,has job,has job,has job,has job
1141933001,,,,has job,has job,has job,has job,has job,has job
1150500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1150800001,has job,has job,has job,has job,has job,has job,has job,has job,
1150800004,has job,has job,has job,has job,has job,has job,has job,has job,
1151300006,,,,,,has job,has job,has job,
11519000019,has job,has job,has job,has job,has job,has job,has job,has job,
1152200001,has job,has job,has job,has job,has job,has job,has job,has job,
1152600005,has job,has job,has job,has job,has job,has job,has job,has job,
1152800006,has job,has job,,,,,,,
1152811003,has job,has job,has job,has job,has job,has job,has job,has job,
1152811004,,,,,,,has job,has job,
1152931001,has job,has job,has job,has job,has job,has job,has job,has job,
1152932001,has job,has job,has job,has job,has job,has job,has job,has job,
1171000001,has job,has job,has job,has job,has job,has job,has job,has job,
1171200008,has job,has job,has job,has job,has job,has job,has job,has job,
1171400001,has job,has job,has job,has job,has job,has job,has job,has job,
1180331002,has job,has job,has job,has job,,has job,has job,has job,
1180400004,has job,has job,has job,has job,has job,has job,has job,has job,has job
1180600031,has job,has job,has job,has job,has job,has job,has job,has job,
1200300081,has job,has job,has job,has job,has job,has job,has job,has job,has job
1200400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1200400009,has job,has job,has job,has job,has job,has job,has job,has job,has job
1200431001,has job,has job,has job,has job,has job,has job,has job,has job,
1201300005,,,,,,has job,has job,has job,has job
1202711001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1210200003,,,,,,,,has job,has job
1210800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1210800031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1211100101,has job,has job,has job,has job,has job,has job,has job,has job,has job
1211132001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1211132002,has job,has job,has job,has job,has job,has job,,,
1211133001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1211300031,,,,,has job,has job,has job,has job,has job
1211400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1211400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
1211500062,has job,has job,has job,has job,has job,has job,has job,has job,has job
1212000071,has job,has job,has job,has job,has job,has job,has job,has job,has job
1212631001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1220200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1220200003,,,,has job,has job,has job,has job,has job,has job
1220632001,,,,has job,has job,has job,has job,has job,has job
1220800043,has job,has job,has job,has job,has job,has job,has job,has job,has job
1221311001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1221400005,has job,has job,has job,has job,has job,has job,has job,has job,has job
1221431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1221500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1221500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1221931001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1221934003,has job,has job,has job,has job,has job,has job,has job,has job,has job
1222000006,has job,has job,has job,has job,has job,has job,has job,has job,has job
1230132001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1230200007,,,,,,,,,has job
1230211001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1230211003,,,,,,,,,has job
