hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
003050000-7,NA,NA,NA,NA,NA,NA,NA,998 - 75 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003050000-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 77 - 12 - 62,20 - 77 - 12 - 62
003050000-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 77 - 12 - 62,20 - 77 - 12 - 62
003050003-1,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62
003050003-2,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62,30 - 77 - 12 - 62
003050006-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 77 - 12 - 62,40 - 77 - 12 - 62,40 - 77 - 12 - 62
003050009-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 72 - 31 - 62
003070000-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003090000-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62
003090005-1,60 - 71 - 14 - 62,30 - 73 - 14 - 62,30 - 73 - 14 - 62,30 - 73 - 14 - 62,30 - 73 - 14 - 62,30 - 73 - 14 - 62,30 - 73 - 14 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
