hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
288290003.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62
288290003.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 6 - 52 - 62
288290004.00-1,NA,NA,20 - 74 - 31 - 62,70 - 6 - 52 - 62,70 - 6 - 52 - 62,70 - 6 - 52 - 62,70 - 6 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,70 - 6 - 52 - 62,70 - 6 - 52 - 62,70 - 6 - 52 - 62,70 - 6 - 52 - 62
288290004.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,70 - 6 - 52 - 62,70 - 6 - 52 - 62
288293100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 0,998 - 98 - 98 - 0,40 - 5 - 52 - 62,40 - 5 - 52 - 62
288300003.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90 - 78 - 35 - 62
288410000.00-9,NA,NA,NA,NA,NA,NA,NA,NA,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,11 - 72 - 52 - 62,90 - 6 - 52 - 62,40 - 5 - 52 - 62
288413103.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11 - 72 - 52 - 62
289024100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 64 - 62,50 - 4 - 52 - 62,50 - 4 - 52 - 62,50 - 4 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289024100.00-5,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289030011.00-1,NA,NA,NA,NA,NA,NA,NA,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62
289033100.00-5,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62
289033104.00-1,NA,NA,NA,NA,NA,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62,80 - 3 - 52 - 62
289033104.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 71 - 52 - 62,70 - 3 - 52 - 62,80 - 3 - 52 - 62
289033200.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62
289033200.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62
289033200.00-10,NA,NA,NA,NA,998 - 98 - 98 - 98,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,11 - 71 - 52 - 62,11 - 71 - 52 - 62,11 - 71 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62
289033200.00-11,NA,NA,NA,50 - 1 - 52 - 62,50 - 1 - 52 - 62,50 - 1 - 52 - 62,50 - 1 - 52 - 62,50 - 1 - 52 - 62,50 - 1 - 52 - 62,50 - 1 - 52 - 62,50 - 1 - 52 - 62,50 - 1 - 52 - 62,21 - 72 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62
289063100.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289064100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62
289064100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,11 - 71 - 52 - 62,11 - 71 - 52 - 62,11 - 71 - 52 - 62,11 - 71 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289070000.00-2,NA,NA,NA,NA,NA,NA,NA,NA,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62
289070000.00-8,998 - 1 - 94 - 62,998 - 1 - 94 - 62,998 - 1 - 94 - 62,998 - 1 - 94 - 62,998 - 1 - 94 - 62,998 - 1 - 94 - 62,998 - 1 - 94 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62
289073100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,20 - 2 - 52 - 62,20 - 2 - 52 - 62,20 - 2 - 52 - 62,20 - 2 - 52 - 62,20 - 2 - 52 - 62,20 - 2 - 52 - 62,20 - 2 - 52 - 62
289084100.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,91 - 6 - 52 - 62,91 - 6 - 52 - 62,91 - 6 - 52 - 62,91 - 6 - 52 - 62,91 - 6 - 52 - 62,91 - 6 - 52 - 62
289090000.00-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289100000.00-1,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289100004.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61 - 3 - 52 - 62,61 - 3 - 52 - 62
289104100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289104100.00-2,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289110000.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98
289120000.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289123100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,30 - 2 - 52 - 62,30 - 2 - 52 - 62
289140000.00-10,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289150000.00-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289160000.00-8,NA,NA,NA,998 - 98 - 98 - 98,51 - 5 - 52 - 62,10 - 71 - 51 - 62,10 - 71 - 51 - 62,10 - 71 - 51 - 62,10 - 71 - 51 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289160000.00-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289160005.00-2,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289163103.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289164200.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289164300.00-3,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289164400.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 2 - 52 - 62,11 - 1 - 52 - 62,11 - 1 - 52 - 62,11 - 1 - 52 - 62
289170005.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289220000.00-1,NA,NA,NA,NA,NA,NA,NA,NA,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62
289220000.00-10,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62
289220007.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 - 71 - 52 - 62,21 - 71 - 52 - 62
289223100.00-2,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62
289234100.00-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289250000.00-6,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,998 - 98 - 52 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,40 - 2 - 52 - 62,40 - 2 - 52 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,40 - 2 - 52 - 62
289250000.00-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62,40 - 2 - 52 - 62
289250003.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 3 - 52 - 62,30 - 3 - 52 - 62
289251100.00-1,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,50 - 2 - 52 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,50 - 2 - 52 - 62,50 - 2 - 52 - 62,50 - 2 - 52 - 62,50 - 2 - 52 - 62
289263200.00-1,NA,NA,NA,NA,NA,NA,61 - 71 - 21 - 62,40 - 5 - 52 - 62,40 - 5 - 52 - 62,40 - 5 - 52 - 62,40 - 5 - 52 - 62,40 - 5 - 52 - 62,40 - 5 - 52 - 62,40 - 5 - 52 - 62,40 - 5 - 52 - 62
289264100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289273100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,40 - 2 - 51 - 62,61 - 2 - 52 - 62
289273100.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61 - 2 - 52 - 62,61 - 2 - 52 - 62
289273200.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 1 - 52 - 62,40 - 1 - 52 - 62,40 - 1 - 52 - 62,40 - 1 - 52 - 62,40 - 1 - 52 - 62
289290000.00-7,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289290004.00-1,NA,NA,NA,20 - 71 - 64 - 62,20 - 71 - 64 - 62,20 - 71 - 64 - 62,20 - 71 - 64 - 62,20 - 71 - 64 - 62,20 - 71 - 64 - 62,20 - 71 - 64 - 62,20 - 71 - 64 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62
289290004.00-2,NA,NA,NA,10 - 74 - 64 - 62,10 - 74 - 64 - 62,10 - 74 - 64 - 62,10 - 74 - 64 - 62,10 - 74 - 64 - 62,10 - 74 - 64 - 62,10 - 74 - 64 - 62,10 - 74 - 64 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62
289300000.00-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289300000.00-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62
289303100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62
289303100.00-2,61 - 2 - 52 - 62,61 - 2 - 52 - 62,61 - 2 - 52 - 62,61 - 2 - 52 - 62,61 - 2 - 52 - 62,61 - 2 - 52 - 62,61 - 2 - 52 - 62,61 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62,60 - 2 - 52 - 62
289410013.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 3 - 52 - 62,30 - 3 - 52 - 62
289413200.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140 - 4 - 52 - 62,140 - 4 - 52 - 62,140 - 4 - 52 - 62,51 - 5 - 52 - 62
289413200.00-6,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
289414100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62
289414100.00-2,NA,NA,NA,NA,NA,NA,30 - 71 - 52 - 62,30 - 71 - 52 - 62,30 - 71 - 52 - 62,30 - 71 - 52 - 62,30 - 71 - 52 - 62,30 - 71 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62
289420000.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 4 - 52 - 62,20 - 4 - 52 - 62
289420000.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 4 - 52 - 62,20 - 4 - 52 - 62
289420005.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 6 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62,20 - 6 - 52 - 62
289420008.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 4 - 52 - 62,20 - 4 - 52 - 62
289423100.00-1,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62,11 - 5 - 52 - 62
289430003.00-1,NA,NA,NA,NA,NA,NA,NA,NA,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62,51 - 5 - 52 - 62
290010004.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290010004.00-2,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,21 - 71 - 52 - 62,21 - 71 - 52 - 62,21 - 71 - 52 - 62,21 - 71 - 52 - 62,21 - 71 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290013100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290013100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290014100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290014100.00-2,NA,NA,NA,NA,NA,NA,NA,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290020000.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290020000.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 - 71 - 52 - 62,21 - 71 - 52 - 62,21 - 71 - 52 - 62,21 - 71 - 52 - 62,21 - 71 - 52 - 62,60 - 5 - 52 - 62
290020005.00-1,NA,NA,NA,NA,NA,NA,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,50 - 5 - 52 - 62,120 - 78 - 35 - 62,120 - 78 - 35 - 62
290040000.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 71 - 52 - 62,20 - 71 - 52 - 62,20 - 71 - 52 - 62,20 - 71 - 52 - 62,20 - 71 - 52 - 62,20 - 71 - 52 - 62
290060000.00-3,NA,NA,NA,NA,10 - 71 - 51 - 62,10 - 71 - 51 - 62,10 - 71 - 51 - 62,10 - 71 - 51 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62
290060000.00-4,NA,NA,NA,NA,NA,NA,NA,NA,81 - 4 - 52 - 62,81 - 4 - 52 - 62,81 - 4 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62
290060006.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 72 - 31 - 62,60 - 72 - 31 - 62,60 - 72 - 31 - 62
290080000.00-6,NA,NA,NA,NA,NA,NA,NA,NA,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62
290080000.00-7,NA,NA,NA,NA,NA,NA,NA,NA,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62,10 - 72 - 52 - 62
290084100.00-3,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290123100.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 6 - 52 - 62,30 - 6 - 52 - 62,30 - 6 - 52 - 62,30 - 6 - 52 - 62
290124100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290124200.00-4,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290130000.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290133100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62
290133100.00-6,NA,NA,NA,NA,NA,NA,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62,21 - 72 - 52 - 62
290134100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62,20 - 5 - 52 - 62
290134200.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290134303.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110 - 3 - 64 - 62,110 - 3 - 64 - 62,110 - 3 - 64 - 62,110 - 3 - 64 - 62,60 - 5 - 52 - 62
290160005.00-1,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290180000.00-8,NA,NA,NA,NA,NA,NA,NA,NA,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62
290190004.00-1,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290200003.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290210000.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62,30 - 5 - 52 - 62
290210000.00-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290214100.00-1,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
290260005.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 71 - 34 - 62,40 - 71 - 34 - 62,40 - 71 - 34 - 62
290270000.00-1,NA,NA,NA,NA,NA,NA,NA,NA,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62,60 - 5 - 52 - 62
