2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,hhid_pid
,NA,NA,NA,21,21,12,12,12,12,12,12,12,12,12,41400051
,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,41400061
,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,41400071
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,41500071
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,41600031
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,41600041
,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,41600051
,NA,NA,NA,NA,NA,NA,NA,32,32,32,32,32,32,32,41700004
31 - 76 - 32 - 62,32,32,32,32,32,32,32,32,32,32,32,32,32,32,41700005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,41941001
,NA,NA,NA,NA,NA,NA,31,21,21,21,21,21,14,14,41941002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,41941004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,42041002
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,42041003
71 - 6 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,42200001
71 - 6 - 12 - 62,12,14,14,12,12,12,12,12,12,12,12,12,12,12,42200031
60 - 3 - 36 - 62,36,36,36,12,12,12,12,12,12,12,12,12,12,12,42200032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,42242002
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,36,36,36,42321001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,36,36,36,42321002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12,12,12,42400006
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,426000015
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,42741001
,NA,NA,NA,NA,NA,NA,NA,14,14,12,12,12,12,12,42741002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,42741003
,NA,NA,NA,NA,NA,NA,14,14,12,12,12,12,12,12,42741005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,42800071
71 - 6 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,42900002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,42900052
50 - 7 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,50100004
50 - 7 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,50100005
998 - 98 - 14 - 62,14,14,14,12,12,12,12,12,12,12,12,12,12,12,50341001
20 - 22 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,50400009
